0xC4D061E7,CitHub_Camps
0xFADD0856,LightMapVector_Colour_0
0xCC806226,LightMapVector_Dir_0
0xA1DB665E,LightMapVector_Dir_0
0x1480CB63,MM_Placeholder_Diff
0x2DAF51F6,Water_Mask
0xE9D5764D,Water_Norm
0x051F8B7D,Data_pad_01
0xDEC5AFFB,DataPad02_Diff_Cine
0x10F00990,DataPad02_Msk3_Cine
0x55F36FE2,DataPad02_Norm_Cine
0x0ED75D8D,Datapad01_Diff
0x4714E4BB,Datapad01_Norm
0xDC40EA71,AlliDropShip_Clean_Bck_Diff
0x24D93553,AlliDropShip_Clean_Bck_Norm
0xFEB99EDF,AlliDropShip_Clean_Bck_Spec
0x53EF17F7,AlliDropShip_Clean_Dcl_Diff
0x62F1F1E3,AlliDropShip_Clean_Frt_Diff
0x4484E669,AlliDropShip_Clean_Frt_Norm
0x603D40BF,AlliDropShip_Clean_Frt_Spec
0x4A58ADAA,AlliDropShip_Clean_Gun_Diff
0xB85A4CEC,AlliDropShip_Clean_Gun_Norm
0x39962533,AlliDropShip_Clean_Gun_Spec
0x8F9FFE05,AlliDropShip_Clean_Mnt_Diff
0xE01CE372,AlliDropShip_Clean_Mnt_Norm
0x486394D1,AlliDropShip_Clean_Mnt_Spec
0xF320877F,CubemapFace0
0x89AEEEBD,CubemapFace1
0x587CCE8C,CubemapFace2
0x7791CBE1,CubemapFace3
0xEC794EEA,CubemapFace4
0x7CC84B8E,CubemapFace5
0xC1B21585,CubemapFace0
0x41F2E6EB,CubemapFace1
0xEE86AFCF,CubemapFace2
0xC324C157,CubemapFace3
0xA77C920F,CubemapFace4
0xAC59199B,CubemapFace5
0xE0E1CE63,ShuttleDecals_02_Diff
0xF21EC98C,ShuttleDecals_02_Mask
0x6230E5FD,ShuttleDecals_02_Norm
0x540C650E,ShuttleDecals_Diff
0x2F01E7E0,ShuttleSeats_Diff
0x0537A4B0,ShuttleTrims1_Diff
0xC952CDC7,ShuttleTrims1_Norm
0xC109E517,ShuttleTrims2_Diff
0x500D8776,ShuttleTrims2_Norm
0x5F2422F2,ShuttleTrims_Diff
0xFDBE7C55,ShuttleTrims_MasterRGB_Spec
0xE555A4D8,ShuttleTrims_NORM
0x43D7585A,HMM_ARM_CTHb_Nav_Diff_Stack
0x98A16C00,HMM_ARM_CTHb_Nav_Norm_Stack
0xE09AA6B9,HMM_ARM_CTHb_Nav_Spwr_Stack
0x12B09936,HMM_HED_PROLash_Opac_M01
0x473B562E,HMM_HED_PRO_Add3
0x5BE8912C,HMM_HED_PROCustom_ArchedBrow
0xA901A140,HMM_HED_PROBald_Scalp_Diff_Stack
0xF394E97A,HMM_HED_PROBase_Face_Diff_Stack
0xDE374303,HMM_HED_PROCustom_Military_Diff
0x5E1EEF21,EYE_Lens_Norm
0x40882263,HMM_HED_PROBase_Face_Frk1
0xB0E3A611,HED_PRO_MASK1
0x2D5C2098,NewHead_Wrinkles_Mask1
0xFBE176E2,HMM_HED_PROBald_Scalp_Norm_Stack
0x4C2EE763,HMM_HED_PROBase_Face_Norm_Stack
0x2AD52D02,HMM_HED_PROBase_Scalp_Norm_Stack
0x53C5F329,HMM_HED_PROCustom_Military_Norm
0xF3AFF836,HMM_HED_PRO_WKL_BLK
0x2E2E123A,HMM_HIR_Cru_Diff
0x981C7933,HMM_HIR_Sar_Tang
0x89916C93,HED_PRO_Teeth
0x77628470,LD_Spec_04
0x07AD9847,LD_Spec_05
0x2A214911,CubemapFace0
0xE2916504,WarningSigns_Diff
0x5809D8F6,Lightbeam_Mask01
0x9ED179A0,fx_holo_distortion
0xC615EE2D,Holomod_05_Tex
0x864D5BA3,Shuttle_Int_Holo
0x3ED0ADC1,Shuttle_Int_Holo
0x61B79092,SplashFace_Norm
0x9E7BF5CC,SplashFace_Stack
0x2ABC4D2F,GradientFrame
0x96DE1656,Trauma_Mask
0x25E411A7,Benezia
0xE5D04D2D,Kaiden_01
0xCDF3F3E5,DirectionalMaxComponent0
0x6136E0AC,LightMapVector_Colour_0
0x20A36936,LightMapVector_Colour_0
0x448EB9F7,LightMapVector_Colour_0
0x71295A57,LightMapVector_Colour_0
0xEF1C7C91,LightMapVector_Colour_0
0xEA1C7FEA,LightMapVector_Colour_0
0x2724A649,LightMapVector_Colour_0
0x17580463,LightMapVector_Colour_0
0xD0ECC9E6,LightMapVector_Colour_0
0xC42DA7C7,LightMapVector_Colour_0
0x22168ADB,LightMapVector_Dir_0
0xE0DA73CA,LightMapVector_Dir_0
0x76D8B747,LightMapVector_Dir_0
0xA1C029BF,LightMapVector_Dir_0
0x69DE64EE,LightMapVector_Dir_0
0x82A1F105,LightMapVector_Dir_0
0xABFFC9D9,LightMapVector_Dir_0
0xD95ED3B2,LightMapVector_Dir_0
0x20749A63,LightMapVector_Dir_0
0x6B2B1BAA,LightMapVector_Dir_0
0x3D481B51,NormalizedAverageColor0
0xEBD0BB06,ShadowMapTexture2D
0x18892B02,AmmoBox01_Diff
0x28CD06A7,AmmoBox01_Msk3
0x9D37F0D3,AmmoBox01_Norm
0xC6F0091E,CanisterSludge01_Diff
0x141BB72D,CanisterSludge01_Msk3
0xB1B76D27,CanisterSludge01_Norm
0xC70EAC31,ZMB_ARM_NKDc_Diff_Stack
0x5B7C6993,ZMB_ARM_NKDc_Norm_Stack
0x739A8D32,CorpseTarp01_Diff
0x0AFCD41B,CorpseTarp01_Msk3
0x7C4C7DCF,CorpseTarp01_Norm
0xC5C4509E,Crate02_M_Diff
0x07FCC2A7,Crate02_M_MSK3
0x371D99BE,Crate02_M_Norm
0xFFC5CD54,PaperBurnt_DIFF
0xD4B3AAA3,PaperPiles_Diff
0x3A03C53C,PaperPiles_Norm
0x2B54E28F,TechScanner01_Diff
0x8518A2D4,TechScanner01_Msk3
0x3C189F31,TechScanner01_Norm
0xB15FC1B9,TechTool01_Diff
0x1538DDE2,TechTool01_Msk3
0x0F77F51C,TechTool01_Norm
0x263F2C55,Desk01_Diff
0x7D05A305,Desk01_Msk3
0x4816970B,Desk01_Norm
0xF884FB23,Junk01_Diff
0x74BFCAA1,Junk01_Msk3
0x1A9E3B3E,Junk01_Norm
0x2EE45BE3,Junk05_Diff
0x3146A097,Junk05_Msk3
0xBA741978,Junk05_Norm
0xCFA11DF9,Junk08_Diff
0x6BAE8441,Junk08_Msk3
0x6EAE303A,Junk08_Norm
0x14DCED40,Stretcher01_Diff
0x8E28BBE0,Stretcher01_Msk3
0x11C4AEE9,Stretcher01_Norm
0x646614B9,Wall_Cover01_Diff
0x99DB008F,Wall_Cover01_Msk3
0xC324FB08,Wall_Cover01_Norm
0xB9729407,Dream_FoliageSheet_Diff
0x7A48D080,DreamTree01_DiffDreamTree01_Diff
0x858741E4,DreamTree01_NormDreamTree01_Diff
0x7D4BE270,FoliageSheet_Norm
0x0E4E63DA,Pres_Branch_01_Diff
0x0136D18F,Pres_Branch_01_Mask
0xD2B72AA8,Pres_Branch_01_Norm
0xCB57A583,AmmoCase02_Diff
0x5FD0E5C0,AmmoCase02_Msk3
0x7DD24A44,AmmoCase02_Norm
0x9CB5D149,Cyprus_Tree_Norm
0x9EE3CC76,Branch_DIFF
0x451DBA90,Cyprus_Tree_Diff
0xB34A4D2A,Destroyed_DIFF
0xF01D3184,Destroyed_NORM
0x28EE9E0B,Planter_Dirt_Diff
0xA8436471,Planter_Dirt_Norm
0x2016EC01,paper_scrap
0x157A1737,RealFire_GroundFire_Wide
0x930985E7,Small_Flame
0x00C28465,DirectionalMaxComponent0
0x5EB2205A,DirectionalMaxComponent0
0x12196E5F,DirectionalMaxComponent0
0xFE589CBB,DirectionalMaxComponent0
0x70A4857A,DirectionalMaxComponent0
0x0A2BFEB0,DirectionalMaxComponent0
0xD8593B05,DirectionalMaxComponent0
0x026DB2CA,DirectionalMaxComponent0
0xE8219DD8,DirectionalMaxComponent0
0x8AC971FF,DirectionalMaxComponent0
0x301F6510,DirectionalMaxComponent0
0x64A8FA53,DirectionalMaxComponent1
0xBA131795,DirectionalMaxComponent1
0xF4DD17CE,DirectionalMaxComponent1
0xA4799402,LightMapVector_Colour_0
0x9BB193B5,LightMapVector_Colour_0
0x2D294D01,LightMapVector_Colour_0
0xA948C362,LightMapVector_Colour_0
0x3D28D5C8,LightMapVector_Colour_0
0x60025489,LightMapVector_Colour_0
0x68F06335,LightMapVector_Colour_0
0x86DA6CE5,LightMapVector_Colour_0
0x27CFFF53,LightMapVector_Colour_0
0x7911A485,LightMapVector_Colour_0
0x9F92A955,LightMapVector_Colour_0
0xE241C4A8,LightMapVector_Colour_0
0xA69F3DA8,LightMapVector_Colour_0
0xD52D0F44,LightMapVector_Colour_0
0xB2DE9538,LightMapVector_Colour_0
0x20B867EF,LightMapVector_Colour_0
0x28B33B3D,LightMapVector_Colour_0
0x79043AEF,LightMapVector_Dir_0
0xAD468A17,LightMapVector_Dir_0
0x252697CB,LightMapVector_Dir_0
0x7BF428FE,LightMapVector_Dir_0
0x8DE2A6FC,LightMapVector_Dir_0
0xE9728299,LightMapVector_Dir_0
0x97DD96B3,LightMapVector_Dir_0
0x7C2F47A6,LightMapVector_Dir_0
0x0486DC97,LightMapVector_Dir_0
0x42AF6987,LightMapVector_Dir_0
0x0109D8C3,LightMapVector_Dir_0
0xDDC0823B,LightMapVector_Dir_0
0xE1939CBD,LightMapVector_Dir_0
0x807B6C66,LightMapVector_Dir_0
0x4B7826D9,LightMapVector_Dir_0
0xB5490DE2,LightMapVector_Dir_0
0xE122D783,LightMapVector_Dir_0
0xD43504EF,NormalizedAverageColor0
0x67FB27AE,NormalizedAverageColor0
0x00D89C57,NormalizedAverageColor0
0x7585D523,NormalizedAverageColor0
0x63885716,NormalizedAverageColor0
0x842B6744,NormalizedAverageColor0
0xEED1680D,NormalizedAverageColor0
0xEDEB1670,NormalizedAverageColor0
0xD2F018B9,NormalizedAverageColor0
0x092C96ED,NormalizedAverageColor0
0x792DA27F,NormalizedAverageColor0
0x1113C3C4,NormalizedAverageColor1
0xB49D2278,NormalizedAverageColor1
0x6CAA451E,NormalizedAverageColor1
0x44E6C554,ShadowMapTexture2D
0x81F079A9,ShadowMapTexture2D
0x66C60FC4,ShadowMapTexture2D
0xEF82635C,ShadowMapTexture2D
0x8BBB2E65,ShadowMapTexture2D
0xA2987813,ShadowMapTexture2D
0x1E580684,ShadowMapTexture2D
0xB013C64F,ShadowMapTexture2D
0xBC0EDE54,ShadowMapTexture2D
0xFE6E1A6B,ShadowMapTexture2D
0xA1F0A396,ShadowMapTexture2D
0x07CD095A,ShadowMapTexture2D
0xDDA68086,ShadowMapTexture2D
0x3671CF4D,ShadowMapTexture2D
0xE8660DF4,ShadowMapTexture2D
0xD1508295,ShadowMapTexture2D
0x7C328BBA,ShadowMapTexture2D
0xF10068BD,ShadowMapTexture2D
0x7EAE3405,ShadowMapTexture2D
0x0E08C5FA,HoverCar01b_Dam_Diff
0xEFD86ED2,HoverCar01b_Dam_Msk3
0xBEEE9E13,HoverCar01b_Dam_Norm
0x6A3FC303,CBT_AGS_MSK
0xD9895952,LightbeamMask_02
0x6569B56D,Brushed_Metal_Diff
0xE8AAD2B8,BlackFloor_Diff
0x5BEC6701,BlackFloor_Norm
0x89EB00D9,Gravel_Diff
0x4DA8BB80,Gravel_Norm
0x17AB6B83,Water_Diff
0x3473E295,Planter_Dirt_Diff
0xC8E0791F,fx_Drop
0x5AE4A79D,FBFB01
0xA193AA2E,DirectionalMaxComponent0
0x3F6E7A3B,LightMapVector_Colour_0
0x482389C6,LightMapVector_Colour_0
0x20217D83,LightMapVector_Colour_0
0x789689CF,LightMapVector_Dir_0
0x532C3F41,LightMapVector_Dir_0
0xB63AAE7F,LightMapVector_Dir_0
0x8B84BA31,NormalizedAverageColor0
0xDE7812E6,DirectionalMaxComponent0
0xB42C7E33,LightMapVector_Colour_0
0x40F8DA19,LightMapVector_Colour_0
0x4E1581FC,LightMapVector_Dir_0
0xC65D381D,LightMapVector_Dir_0
0x6F4378F9,NormalizedAverageColor0
0x460A35BB,DirectionalMaxComponent0
0x67C8A74E,DirectionalMaxComponent0
0x3FC33A75,DirectionalMaxComponent1
0x57AB0C49,LightMapVector_Colour_0
0x2A63F536,LightMapVector_Colour_0
0xC3822203,LightMapVector_Colour_0
0x02234292,LightMapVector_Colour_0
0x4DB1D30E,LightMapVector_Colour_0
0x6AB437E8,LightMapVector_Colour_0
0x633941E7,LightMapVector_Colour_0
0x0B2AE7F0,LightMapVector_Colour_0
0x1F589D33,LightMapVector_Colour_0
0x8D028AAA,LightMapVector_Colour_0
0x6DF71556,LightMapVector_Colour_0
0x5716B865,LightMapVector_Dir_0
0x2F10E926,LightMapVector_Dir_0
0xB4A516F6,LightMapVector_Dir_0
0xC75899E4,LightMapVector_Dir_0
0x0C74E6FF,LightMapVector_Dir_0
0xF31FA1A9,LightMapVector_Dir_0
0xEDE35E33,LightMapVector_Dir_0
0x64A16ACF,LightMapVector_Dir_0
0xA5668DC2,LightMapVector_Dir_0
0xD6E70E29,LightMapVector_Dir_0
0xC22104E4,LightMapVector_Dir_0
0xBF78AA7E,NormalizedAverageColor0
0x204BB0B9,NormalizedAverageColor0
0x798D5644,NormalizedAverageColor1
0x96D69658,ShadowMapTexture2D
0xC09034A0,ShadowMapTexture2D
0xDA8F5C17,Sink01_Diff
0x70D8ABF7,Sink01_Msk3
0x8F169AD9,Sink01_Norm
0x24752BC9,ice50_storageshelf_diff
0x8584B91A,ice50_storageshelf_norm
0x6E0E1C86,Dumpster01_Diff
0x9212E6F8,Dumpster01_Msk3
0xD8D97057,Dumpster01_Norm
0x983FE991,GroundCover_NORM
0x30B2280C,Pattern_Diff
0x9665E158,distort_06
0x88FC2B52,water_caustic_01
0x6693C6E9,GroundCover_DIFF
0x6D98C073,DirectionalMaxComponent0
0x543FFCAC,LightMapVector_Colour_0
0xD19D0596,LightMapVector_Colour_0
0x729F828B,LightMapVector_Dir_0
0xBD08CE1E,LightMapVector_Dir_0
0x46405ED4,NormalizedAverageColor0
0x0BA75AFD,LightMapVector_Colour_0
0x834D139C,LightMapVector_Dir_0
0xBC76E578,LightMapVector_Colour_0
0xB4483662,LightMapVector_Dir_0
0xD326118D,LightMapVector_Colour_0
0xD5C73ECF,LightMapVector_Colour_0
0x33709BCF,LightMapVector_Dir_0
0xCD16B518,LightMapVector_Dir_0
0x7BF66EED,TableExam01_Diff
0xC2413EC1,TableExam01_Msk3
0x7776FFA3,TableExam01_Norm
0x008F56AB,DirectionalMaxComponent0
0xD70D54C9,LightMapVector_Colour_0
0xE585BA99,LightMapVector_Colour_0
0x0466DD60,LightMapVector_Colour_0
0xE3E6C739,LightMapVector_Colour_0
0xDBD80578,LightMapVector_Colour_0
0xC26D2ECB,LightMapVector_Dir_0
0x3D4FFFA4,LightMapVector_Dir_0
0xD1DB5044,LightMapVector_Dir_0
0x29949E32,LightMapVector_Dir_0
0x127EA75C,LightMapVector_Dir_0
0xD6685378,NormalizedAverageColor0
0xCF443048,ShadowMapTexture2D
0x959AE624,ChairReclining01_Diff
0x675A19EF,ChairReclining01_Msk3
0x875FA2E0,ChairReclining01_Norm
0x7B05E9A2,HoverCar01a_Dam_Diff
0x65CAF769,HoverCar01a_Dam_Msk3
0x22E1DC14,HoverCar01a_Dam_Norm
0x51E2FB20,Ladders_Diff
0x23CDFF02,Concrete_Diff
0x496530D6,Concrete_NORM
0xCFA32157,DirectionalMaxComponent0
0x920BD1F6,LightMapVector_Colour_0
0xBC60B5B0,LightMapVector_Colour_0
0xA2EC00B6,LightMapVector_Dir_0
0x3EAB7EBF,LightMapVector_Dir_0
0xE22CF1AC,NormalizedAverageColor0
0x7C5823BC,ShadowMapTexture2D
0x38112C8D,DirectionalMaxComponent0
0xB82BC69A,DirectionalMaxComponent0
0x984A7745,DirectionalMaxComponent0
0xF261F138,DirectionalMaxComponent0
0xBA0617B4,DirectionalMaxComponent0
0x8BD4E6AE,DirectionalMaxComponent1
0x7E439A6D,LightMapVector_Colour_0
0xC58E133B,LightMapVector_Colour_0
0x457A21EC,LightMapVector_Colour_0
0xCE0645D4,LightMapVector_Colour_0
0x50E30C41,LightMapVector_Colour_0
0xCD8FFF07,LightMapVector_Colour_0
0x71885E37,LightMapVector_Colour_0
0x83A7493F,LightMapVector_Colour_0
0x31597B8C,LightMapVector_Colour_0
0x0C032C74,LightMapVector_Colour_0
0xBE7FDCBB,LightMapVector_Dir_0
0x12C04D52,LightMapVector_Dir_0
0xA1844874,LightMapVector_Dir_0
0xEB792225,LightMapVector_Dir_0
0x8929BDA7,LightMapVector_Dir_0
0x11A16FE3,LightMapVector_Dir_0
0xF60EC2BF,LightMapVector_Dir_0
0x99BD5580,LightMapVector_Dir_0
0xD9EDA933,LightMapVector_Dir_0
0xD4A3D8CE,LightMapVector_Dir_0
0x335E5A1F,NormalizedAverageColor0
0xBEBCD21A,NormalizedAverageColor0
0xBE1DCA26,NormalizedAverageColor0
0x9A0ADBC8,NormalizedAverageColor0
0xB7029B67,NormalizedAverageColor0
0x1F4703BA,NormalizedAverageColor1
0xDA39F46B,ShadowMapTexture2D
0x95508719,ShadowMapTexture2D
0xD76F146C,ShadowMapTexture2D
0xA335C052,ShadowMapTexture2D
0x6DB37257,ShadowMapTexture2D
0x26E5A5E7,ShadowMapTexture2D
0xE4EF2741,ShadowMapTexture2D
0x143EEB79,DirectionalMaxComponent1
0x9EBBD884,LightMapVector_Colour_0
0xC344EB7D,LightMapVector_Colour_0
0x1911ABC6,LightMapVector_Dir_0
0x5CDCBC3F,LightMapVector_Dir_0
0x5985FB76,NormalizedAverageColor1
0x44B672A9,ShadowMapTexture2D
0x1ABD0B7E,Bar_Table_02_diff
0xD200638B,Bar_Table_02_norm
0xE1841958,Bar_Table_02_spec
0xAC7D5730,Bar_Table_02_spwr
0xE9714056,Bar_Table_02_tmis
0x508C25F7,Chair_Bar_02_Diff
0x0CD55AFD,Chair_Bar_02_Norm
0x76D06F3A,CubemapFace0
0xD44155BA,Chair_Bar_02_Spec
0x7E7ED112,Chair_Bar_02_Spwr
0xFD473357,Chair_Bar_02_Tmis
0x37626D7D,ChairReclining03_Diff
0x908C3746,ChairReclining03_Msk3
0xCA4A8FDD,ChairReclining03_Norm
0x6A278A65,TableCoffee01_Diff
0xC39FEFFE,TableCoffee01_Msk3
0x4E092439,TableCoffee01_Norm
0xF82DCA71,Damaged
0xB82408DD,Default_Black
0xD0BF4DBC,Default_Norm
0xC83965AD,Gravel_512_Norm
0x7C176B54,DirectionalMaxComponent0
0x2FF73A3C,LightMapVector_Colour_0
0x4F3E921B,LightMapVector_Colour_0
0x4721C330,LightMapVector_Colour_0
0x1B7ACA9D,LightMapVector_Colour_0
0xA29CA4CB,LightMapVector_Colour_0
0xB7B0982D,LightMapVector_Colour_0
0x8442B46F,LightMapVector_Colour_0
0xE39F2C1B,LightMapVector_Dir_0
0x774646EA,LightMapVector_Dir_0
0x45274A5A,LightMapVector_Dir_0
0x4914E888,LightMapVector_Dir_0
0x646CAECD,LightMapVector_Dir_0
0xCBE1DEE1,LightMapVector_Dir_0
0x9AE8F125,LightMapVector_Dir_0
0xB6851C8A,NormalizedAverageColor0
0xF7577847,ShadowMapTexture2D
0x921FBFDC,CBT_AGSc_Diff
0xF6315687,CBT_AGSc_Norm
0xF97F0DFD,CBT_AGSc_Spec
0x4748E13A,Slime_Decal
0x52FCE3CF,liquid_Splash_FB
0x9EECD1D5,epicenterTexture2
0x02C0B0CD,DirectionalMaxComponent0
0xD6D19FE1,LightMapVector_Colour_0
0xCEC78F41,LightMapVector_Dir_0
0xF6700BF7,NormalizedAverageColor0
0x2C1F47C3,DirectionalMaxComponent0
0xD1BD4BBE,DirectionalMaxComponent0
0x639614A2,DirectionalMaxComponent0
0x4060872D,DirectionalMaxComponent0
0xEA54D581,LightMapVector_Colour_0
0x4DC86BC7,LightMapVector_Colour_0
0x5A73AFF5,LightMapVector_Colour_0
0x62EA5357,LightMapVector_Colour_0
0x9E8E3789,LightMapVector_Colour_0
0x9C0FF897,LightMapVector_Colour_0
0x5EA37DDA,LightMapVector_Colour_0
0x8E405153,LightMapVector_Colour_0
0x499B5A28,LightMapVector_Colour_0
0x84F2768A,LightMapVector_Dir_0
0xDF1E6E75,LightMapVector_Dir_0
0x69523180,LightMapVector_Dir_0
0x68AD142E,LightMapVector_Dir_0
0xAE5BCA4A,LightMapVector_Dir_0
0xD9E60A4A,LightMapVector_Dir_0
0xBBF3C969,LightMapVector_Dir_0
0xCF885593,LightMapVector_Dir_0
0x34ADBDD4,LightMapVector_Dir_0
0x72E9703E,NormalizedAverageColor0
0x64819F90,NormalizedAverageColor0
0x4B86EBFB,NormalizedAverageColor0
0x53EEB4C4,NormalizedAverageColor0
0x2E365261,ShadowMapTexture2D
0x06B98B04,ShadowMapTexture2D
0x1C5B0629,ShadowMapTexture2D
0x7DDAE4E4,ShadowMapTexture2D
0xE2A0709C,ShadowMapTexture2D
0x3AA5A5A7,ShadowMapTexture2D
0xEC6EF77A,ShadowMapTexture2D
0x4CC893D7,Temple_DoorLight
0xFFC29DA7,Temple_Statue_Base_DIF
0x37C78DC9,Temple_Statue_Base_NM
0x66E4CA3D,Temple_Statue_Breaks
0x38F393D4,Temple_Statue_Dress_DIF
0x323DA8BC,Temple_Statue_Dress_NM
0xDF0DFF4D,Temple_Statue_Skirt_DIF
0xE2E7146B,Temple_Statue_Skirt_NM
0xB3DAE997,Temple_Statue_Torso_DIF
0x5F732FD5,Temple_Statue_Torso_NM
0x3DA930CD,CliffTiled_NORM
0xCA56ABC9,Statue_Core_Diff
0x85141477,LightMapVector_Colour_0
0x388F58F0,LightMapVector_Colour_0
0x4B7A83F7,LightMapVector_Colour_0
0xC962D7A7,LightMapVector_Colour_0
0xD2554D9E,LightMapVector_Dir_0
0xC20BA450,LightMapVector_Dir_0
0x47D2FE01,LightMapVector_Dir_0
0x03AC31BE,LightMapVector_Dir_0
0x5F7858DA,ShadowMapTexture2D
0xA6257B43,LightMapVector_Colour_0
0xA5C22900,LightMapVector_Dir_0
0x0A0820C4,ShadowMapTexture2D
0x878264A3,ShadowMapTexture2D
0xBFF73AA6,DirectionalMaxComponent0
0x6655FA85,LightMapVector_Colour_0
0x3D7FEB4E,LightMapVector_Colour_0
0x4D282F0A,LightMapVector_Colour_0
0x261FCFA3,LightMapVector_Colour_0
0x4381A5AA,LightMapVector_Colour_0
0x11EA3DED,LightMapVector_Dir_0
0xC856EB98,LightMapVector_Dir_0
0x9B169221,LightMapVector_Dir_0
0x48C700D4,LightMapVector_Dir_0
0xCF2D5101,LightMapVector_Dir_0
0x1B916C68,NormalizedAverageColor0
0x6C0A174B,ShadowMapTexture2D
0xC0339249,Parchment01_Diff
0x42789CDF,Parchment01_Msk3
0x380E2FBC,Parchment01_Norm
0x78624F53,Shield01_Diff
0x1BC5574B,Shield01_Msk3
0xCDFE2EE8,Shield01_Norm
0x2AB5F3FC,Statue01_Diff
0xE1CAB597,Statue01_Msk3
0x83D51A55,Statue01_Norm
0xD123E7AF,Sword01_Diff
0xCFA4D482,Sword01_Msk3
0xB017F2B9,Sword01_Norm
0x9AEE58BC,ProtheanArtifact01_diff
0xCB6E38D5,ProtheanArtifact01_emis
0xEF07B4A0,ProtheanArtifact01_norm
0xCD0E45A2,thessia_fresco_DIFF
0xB3E0B8DB,thessia_fresco_NORM
0xF9B8CC40,DirectionalMaxComponent0
0x721F9BE9,DirectionalMaxComponent0
0x5A9F874B,DirectionalMaxComponent0
0x23FEA710,DirectionalMaxComponent0
0x8E7D899B,DirectionalMaxComponent1
0xB75C9B97,DirectionalMaxComponent1
0x4E388DD2,DirectionalMaxComponent1
0xB7D54E80,DirectionalMaxComponent1
0x6FAB0FCD,DirectionalMaxComponent1
0x0D69B071,DirectionalMaxComponent1
0x977D836B,LightMapVector_Colour_0
0x59516306,LightMapVector_Colour_0
0xFD06FE93,LightMapVector_Colour_0
0x51995C33,LightMapVector_Colour_0
0x84BD0868,LightMapVector_Colour_0
0x1FD169A2,LightMapVector_Colour_0
0xACC4A669,LightMapVector_Colour_0
0xED1D08BF,LightMapVector_Colour_0
0x855321DE,LightMapVector_Colour_0
0xB52AF230,LightMapVector_Colour_0
0xAF9E7CE8,LightMapVector_Colour_0
0x33BDC6A1,LightMapVector_Colour_0
0x02414428,LightMapVector_Colour_0
0x2D07DC9C,LightMapVector_Colour_0
0x36BD629D,LightMapVector_Colour_0
0x7BC5D39C,LightMapVector_Colour_0
0xA33D9D27,LightMapVector_Colour_0
0xA769DCFC,LightMapVector_Colour_0
0x7563BAF9,LightMapVector_Colour_0
0x31E5052F,LightMapVector_Colour_0
0x489A3796,LightMapVector_Colour_0
